Start time: 1725635416.2383099

Blueprint 1:
         104618 function calls (104506 primitive calls) in 0.065 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       63    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        7    0.000    0.000    0.000    0.000 enum.py:197(<dictcomp>)
       83    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1556(_fill_cache)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
      2/1    0.000    0.000    0.000    0.000 sre_compile.py:71(_compile)
        7    0.000    0.000    0.000    0.000 enum.py:561(_check_for_existing_members)
       24    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 threading.py:943(_set_tstate_lock)
       17    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
       52    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
        7    0.000    0.000    0.000    0.000 enum.py:81(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:795(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1179(exec_module)
        1    0.000    0.000    0.000    0.000 __init__.py:22(<listcomp>)
        1    0.000    0.000    0.000    0.000 codecs.py:319(decode)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
       36    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
        1    0.000    0.000    0.000    0.000 selectors.py:584(_can_use)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
        1    0.000    0.000    0.000    0.000 day-19.py:21(<listcomp>)
        1    0.000    0.000    0.000    0.000 threading.py:784(Thread)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 process.py:393(__init__)
       72    0.000    0.000    0.000    0.000 signal.py:22(<lambda>)
       32    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 posixpath.py:334(normpath)
